A1;283;156;NORMALE
A2;318;156;NORMALE
A3;353;156;NORMALE
A4;388;156;NORMALE
A5;423;156;NORMALE
A6;458;156;NORMALE
A7;493;156;NORMALE
A8;528;156;NORMALE
A9;563;156;NORMALE
A10;598;156;NORMALE
A11;633;156;NORMALE
A12;668;156;NORMALE
A13;703;156;NORMALE
A14;738;156;NORMALE
A15;773;156;NORMALE
A16;808;156;NORMALE
A17;843;156;NORMALE
A18;878;156;NORMALE
B1;283;186;NORMALE
B2;318;186;NORMALE
B3;353;186;NORMALE
B4;388;186;NORMALE
B5;423;186;NORMALE
B6;458;186;NORMALE
B7;493;186;NORMALE
B8;528;186;NORMALE
B9;563;186;NORMALE
B10;598;186;NORMALE
B11;633;186;NORMALE
B12;668;186;NORMALE
B13;703;186;NORMALE
B14;738;186;NORMALE
B15;773;186;NORMALE
B16;808;186;NORMALE
B17;843;186;NORMALE
B18;878;186;NORMALE
C1;283;216;NORMALE
C2;318;216;NORMALE
C3;353;216;NORMALE
C4;388;216;NORMALE
C5;423;216;NORMALE
C6;458;216;NORMALE
C7;493;216;NORMALE
C8;528;216;NORMALE
C9;563;216;NORMALE
C10;598;216;NORMALE
C11;633;216;NORMALE
C12;668;216;NORMALE
C13;703;216;NORMALE
C14;738;216;NORMALE
C15;773;216;NORMALE
C16;808;216;NORMALE
C17;843;216;NORMALE
C18;878;216;NORMALE
D1;283;246;NORMALE
D2;318;246;NORMALE
D3;353;246;NORMALE
D4;388;246;NORMALE
D5;423;246;NORMALE
D6;458;246;NORMALE
D7;493;246;NORMALE
D8;528;246;NORMALE
D9;563;246;NORMALE
D10;598;246;NORMALE
D11;633;246;NORMALE
D12;668;246;NORMALE
D13;703;246;NORMALE
D14;738;246;NORMALE
D15;773;246;NORMALE
D16;808;246;NORMALE
D17;843;246;NORMALE
D18;878;246;NORMALE
E1;283;276;NORMALE
E2;318;276;NORMALE
E3;353;276;NORMALE
E4;388;276;NORMALE
E5;423;276;NORMALE
E6;458;276;NORMALE
E7;493;276;NORMALE
E8;528;276;NORMALE
E9;563;276;NORMALE
E10;598;276;NORMALE
E11;633;276;NORMALE
E12;668;276;NORMALE
E13;703;276;NORMALE
E14;738;276;NORMALE
E15;773;276;NORMALE
E16;808;276;NORMALE
E17;843;276;NORMALE
E18;878;276;NORMALE
F1;283;306;NORMALE
F2;318;306;NORMALE
F3;353;306;NORMALE
F4;388;306;NORMALE
F5;423;306;NORMALE
F6;458;306;NORMALE
F7;493;306;NORMALE
F8;528;306;NORMALE
F9;563;306;NORMALE
F10;598;306;NORMALE
F11;633;306;NORMALE
F12;668;306;NORMALE
F13;703;306;NORMALE
F14;738;306;NORMALE
F15;773;306;NORMALE
F16;808;306;NORMALE
F17;843;306;NORMALE
F18;878;306;NORMALE
G1;283;336;NORMALE
G2;318;336;NORMALE
G3;353;336;NORMALE
G4;388;336;NORMALE
G5;423;336;NORMALE
G6;458;336;NORMALE
G7;493;336;NORMALE
G8;528;336;NORMALE
G9;563;336;NORMALE
G10;598;336;NORMALE
G11;633;336;NORMALE
G12;668;336;NORMALE
G13;703;336;NORMALE
G14;738;336;NORMALE
G15;773;336;NORMALE
G16;808;336;NORMALE
G17;843;336;NORMALE
G18;878;336;NORMALE
H1;283;399;NORMALE
H2;318;399;NORMALE
H3;353;399;NORMALE
H4;388;399;NORMALE
H5;423;399;NORMALE
H6;458;399;NORMALE
H7;493;399;NORMALE
H8;528;399;NORMALE
H9;633;399;NORMALE
H10;668;399;NORMALE
H11;703;399;NORMALE
H12;738;399;NORMALE
H13;773;399;NORMALE
H14;808;399;NORMALE
H15;843;399;NORMALE
H16;878;399;NORMALE
I1;283;429;NORMALE
I2;318;429;NORMALE
I3;353;429;NORMALE
I4;388;429;NORMALE
I5;423;429;NORMALE
I6;458;429;NORMALE
I7;493;429;NORMALE
I8;528;429;NORMALE
I9;563;429;NORMALE
I10;598;429;NORMALE
I11;633;429;NORMALE
I12;668;429;NORMALE
I13;703;429;NORMALE
I14;738;429;NORMALE
I15;773;429;NORMALE
I16;808;429;NORMALE
I17;843;429;NORMALE
I18;878;429;NORMALE
