A1;361;152
A2;396;152
A3;431;152
A4;466;152
A5;501;152
A6;536;152
A7;641;152
A8;676;152
A9;711;152
A10;746;152
A11;781;152
A12;816;152
B1;361;182
B2;396;182
B3;431;182
B4;466;182
B5;501;182
B6;536;182
B7;571;182
B8;606;182
B9;641;182
B10;676;182
B11;711;182
B12;746;182
B13;781;182
B14;816;182
C1;361;212
C2;396;212
C3;431;212
C4;466;212
C5;501;212
C6;536;212
C7;571;212
C8;606;212
C9;641;212
C10;676;212
C11;711;212
C12;746;212
C13;781;212
C14;816;212
D1;361;242
D2;396;242
D3;431;242
D4;466;242
D5;501;242
D6;536;242
D7;571;242
D8;606;242
D9;641;242
D10;676;242
D11;711;242
D12;746;242
D13;781;242
D14;816;242
E1;361;272
E2;396;272
E3;431;272
E4;466;272
E5;501;272
E6;536;272
E7;571;272
E8;606;272
E9;641;272
E10;676;272
E11;711;272
E12;746;272
E13;781;272
E14;816;272
F1;361;302
F2;396;302
F3;431;302
F4;466;302
F5;501;302
F6;536;302
F7;571;302
F8;606;302
F9;641;302
F10;676;302
F11;711;302
F12;746;302
F13;781;302
F14;816;302
G1;361;332
G2;396;332
G3;431;332
G4;466;332
G5;501;332
G6;536;332
G7;571;332
G8;606;332
G9;641;332
G10;676;332
G11;711;332
G12;746;332
G13;781;332
G14;816;332
H1;361;362
H2;396;362
H3;431;362
H4;466;362
H5;501;362
H6;536;362
H7;571;362
H8;606;362
H9;641;362
H10;676;362
H11;711;362
H12;746;362
H13;781;362
H14;816;362
I1;361;392
I2;396;392
I3;431;392
I4;466;392
I5;501;392
I6;536;392
I7;571;392
I8;606;392
I9;641;392
I10;676;392
I11;711;392
I12;746;392
I13;781;392
I14;816;392
J1;361;422
J2;396;422
J3;431;422
J4;466;422
J5;501;422
J6;536;422
J7;571;422
J8;606;422
J9;641;422
J10;676;422
J11;711;422
J12;746;422
J13;781;422
J14;816;422
